Periode,Nama hari,Gold price,Minyak,Suku bunga,Inflasi
1/4/2010,Senin,1118.3,80.12,0.12,217.49
1/5/2010,Selasa,1118.7,80.59,0.12,217.47
1/6/2010,Rabu,1136.5,81.89,0.12,217.46
1/7/2010,Kamis,1133.7,81.51,0.1,217.45
1/8/2010,Jumat,1138.9,81.37,0.11,217.44
1/11/2010,Senin,1151.4,80.97,0.11,217.43
1/12/2010,Selasa,1129.4,79.3,0.11,217.42
1/13/2010,Rabu,1136.8,78.31,0.11,217.41
1/14/2010,Kamis,1143,77.82,0.11,217.4
1/15/2010,Jumat,1130.5,77.11,0.12,217.39
1/18/2010,Senin,1140,77.1,0.12,217.38
1/19/2010,Selasa,1140.6,77.63,0.13,217.37
1/20/2010,Rabu,1112.6,76.32,0.13,217.36
1/21/2010,Kamis,1103.2,74.58,0.12,217.35
1/22/2010,Jumat,1089.7,72.83,0.11,217.34
1/25/2010,Senin,1095.7,73.69,0.12,217.33
1/26/2010,Selasa,1098.3,73.29,0.12,217.32
1/27/2010,Rabu,1084.5,72.24,0.12,217.31
1/28/2010,Kamis,1084.8,72.13,0.12,217.3
1/29/2010,Jumat,1083.8,71.46,0.12,217.29
2/1/2010,Senin,1105,73.11,0.14,217.28
2/2/2010,Selasa,1118,76.06,0.14,217.28
2/3/2010,Rabu,1112,75.92,0.13,217.29
2/4/2010,Kamis,1063,72.13,0.14,217.29
2/5/2010,Jumat,1052.8,69.59,0.13,217.3
2/8/2010,Senin,1066.2,70.11,0.13,217.3
2/9/2010,Selasa,1077.2,72.13,0.13,217.3
2/10/2010,Rabu,1076.3,72.54,0.12,217.31
2/11/2010,Kamis,1094.7,73.05,0.12,217.31
2/12/2010,Jumat,1090,72.9,0.12,217.31
2/15/2010,Senin,1119.8,72.51,0.12,217.32
2/16/2010,Selasa,1119.8,75.68,0.13,217.32
2/17/2010,Rabu,1120.1,76.27,0.12,217.32
2/18/2010,Kamis,1118.7,77.78,0.12,217.33
2/19/2010,Jumat,1122.1,78.19,0.13,217.33
2/22/2010,Senin,1113.1,78.61,0.12,217.34
2/23/2010,Selasa,1103.2,77.25,0.12,217.34
2/24/2010,Rabu,1097.2,78.09,0.11,217.34
2/25/2010,Kamis,1108.5,76.29,0.12,217.35
2/26/2010,Jumat,1118.9,77.59,0.13,217.35
3/1/2010,Senin,1118.3,76.89,0.14,217.35
3/2/2010,Selasa,1137.4,78.18,0.14,217.36
3/3/2010,Rabu,1143.3,79.25,0.15,217.36
3/4/2010,Kamis,1133.1,78.54,0.16,217.36
3/5/2010,Jumat,1135.2,79.89,0.17,217.36
3/8/2010,Senin,1124,80.47,0.15,217.36
3/9/2010,Selasa,1122.3,79.91,0.14,217.37
3/10/2010,Rabu,1108.1,80.48,0.14,217.37
3/11/2010,Kamis,1108.2,80.28,0.15,217.37
3/12/2010,Jumat,1101.7,79.39,0.17,217.37
3/15/2010,Senin,1105.4,77.89,0.2,217.37
3/16/2010,Selasa,1122.5,79.02,0.2,217.38
3/17/2010,Rabu,1124.2,81.96,0.18,217.38
3/18/2010,Kamis,1127.5,81.48,0.18,217.38
3/19/2010,Jumat,1107.6,79.88,0.18,217.38
3/22/2010,Senin,1099.5,80.54,0.18,217.39
3/23/2010,Selasa,1103.7,80.7,0.17,217.39
3/24/2010,Rabu,1088.8,79.62,0.17,217.39
3/25/2010,Kamis,1092.9,79.61,0.17,217.39
3/26/2010,Jumat,1104.3,79.29,0.17,217.39
3/29/2010,Senin,1110.3,81.17,0.16,217.4
3/30/2010,Selasa,1105.7,81.28,0.16,217.4
3/31/2010,Rabu,1114.5,82.7,0.09,217.4
4/1/2010,Kamis,1126.1,84.01,0.17,217.4
4/2/2010,Jumat,1129.95,84.95,0.2,217.4
4/5/2010,Senin,1133.8,85.88,0.2,217.39
4/6/2010,Selasa,1136,86.15,0.2,217.39
4/7/2010,Rabu,1153,85.59,0.19,217.38
4/8/2010,Kamis,1152.9,84.81,0.19,217.38
4/9/2010,Jumat,1161.9,84.83,0.19,217.37
4/12/2010,Senin,1162.2,84.77,0.19,217.37
4/13/2010,Selasa,1153.4,84.72,0.2,217.37
4/14/2010,Rabu,1159.6,86.15,0.2,217.36
4/15/2010,Kamis,1160.3,87.17,0.22,217.36
4/16/2010,Jumat,1136.9,85.99,0.21,217.35
4/19/2010,Senin,1135.8,84.23,0.2,217.35
4/20/2010,Selasa,1139.2,84.8,0.2,217.34
4/21/2010,Rabu,1148.8,85.7,0.2,217.34
4/22/2010,Kamis,1142.9,85.67,0.2,217.33
4/23/2010,Jumat,1153.7,87.25,0.2,217.33
4/26/2010,Senin,1154,86.83,0.2,217.32
4/27/2010,Selasa,1162.2,85.78,0.2,217.32
4/28/2010,Rabu,1171.8,86.16,0.2,217.31
4/29/2010,Kamis,1168.8,86.9,0.19,217.31
4/30/2010,Jumat,1180.7,87.44,0.2,217.3
5/3/2010,Senin,1183.3,88.94,0.2,217.3
5/4/2010,Selasa,1169.2,85.67,0.21,217.29
5/5/2010,Rabu,1175,82.61,0.21,217.29
5/6/2010,Kamis,1197.3,79.83,0.2,217.28
5/7/2010,Jumat,1210.4,78.27,0.2,217.28
5/10/2010,Senin,1200.8,80.12,0.2,217.27
5/11/2010,Selasa,1220.3,80.49,0.2,217.27
5/12/2010,Rabu,1243.1,81.2,0.2,217.27
5/13/2010,Kamis,1229.2,80.11,0.2,217.26
5/14/2010,Jumat,1227.8,77.18,0.2,217.26
5/17/2010,Senin,1228.1,75.1,0.21,217.25
5/18/2010,Selasa,1214.6,74.43,0.21,217.25
5/19/2010,Rabu,1193.1,73.69,0.2,217.24
5/20/2010,Kamis,1188.6,71.84,0.2,217.24
5/21/2010,Jumat,1176.1,71.68,0.2,217.23
5/24/2010,Senin,1194,71.17,0.21,217.23
5/25/2010,Selasa,1198,69.55,0.21,217.22
5/26/2010,Rabu,1213.4,71.74,0.2,217.22
5/27/2010,Kamis,1211.9,74.66,0.2,217.21
5/28/2010,Jumat,1215,74.02,0.19,217.21
5/31/2010,Senin,1226.9,74.65,0.19,217.2
6/1/2010,Selasa,1226.9,72.71,0.2,217.2
6/2/2010,Rabu,1222.6,73.75,0.2,217.22
6/3/2010,Kamis,1210,75.41,0.19,217.24
6/4/2010,Jumat,1217.7,72.09,0.19,217.25
6/7/2010,Senin,1240.8,72.12,0.19,217.27
6/8/2010,Selasa,1245.6,72.3,0.19,217.29
6/9/2010,Rabu,1229.9,74.27,0.18,217.31
6/10/2010,Kamis,1222.2,75.29,0.18,217.33
6/11/2010,Jumat,1230.2,74.35,0.18,217.35
6/14/2010,Senin,1224.5,75.2,0.18,217.37
6/15/2010,Selasa,1234.4,76.2,0.19,217.38
6/16/2010,Rabu,1230.5,78.14,0.19,217.4
6/17/2010,Kamis,1248.7,78.68,0.19,217.42
6/18/2010,Jumat,1258.3,78.22,0.18,217.44
6/21/2010,Senin,1240.7,78.82,0.17,217.46
6/22/2010,Selasa,1240.8,78.04,0.18,217.48
6/23/2010,Rabu,1234.8,76.27,0.17,217.49
6/24/2010,Kamis,1245.9,76.47,0.16,217.51
6/25/2010,Jumat,1256.2,78.12,0.16,217.53
6/28/2010,Senin,1238.6,77.59,0.17,217.55
6/29/2010,Selasa,1242.4,75.44,0.15,217.57
6/30/2010,Rabu,1245.9,75.01,0.09,217.59
7/1/2010,Kamis,1206.7,72.34,0.17,217.61
7/2/2010,Jumat,1207.7,71.65,0.18,217.62
7/5/2010,Senin,1195.1,71.47,0.18,217.64
7/6/2010,Selasa,1196,71.45,0.18,217.65
7/7/2010,Rabu,1198.9,73.51,0.18,217.67
7/8/2010,Kamis,1196.1,74.71,0.17,217.68
7/9/2010,Jumat,1209.8,75.42,0.18,217.7
7/12/2010,Senin,1198.7,74.37,0.17,217.71
7/13/2010,Selasa,1213.5,76.65,0.17,217.73
7/14/2010,Rabu,1207,76.77,0.17,217.74
7/15/2010,Kamis,1208.3,76.19,0.19,217.76
7/16/2010,Jumat,1188.2,75.37,0.19,217.77
